Platform,Year_of_Release,Genre,Publisher,Above_Average_Critic_Score,Above_Average_User_Score,Log_Global_Sales
PC,1985,Simulation,Activision,False,False,-3.506557897319982
PC,1988,Simulation,Maxis,False,False,-3.506557897319982
PC,1992,Shooter,id Software,True,True,-3.506557897319982
PS,1994,Fighting,Sony Computer Entertainment,False,False,0.23901690047049992
PC,1996,Role-Playing,Activision,True,True,0.4637340162321402
PS,1996,Puzzle,Virgin Interactive,True,True,-1.9661128563728327
PS,1996,Action,Virgin Interactive,True,True,1.6193882432872684
PS,1996,Action,Eidos Interactive,True,True,1.5325568680981427
PC,1996,Action,Eidos Interactive,True,True,0.02955880224154443
PS,1996,Misc,Sony Computer Entertainment,True,True,0.6523251860396901
PS,1996,Fighting,Sony Computer Entertainment,True,True,1.747459210331475
PS,1997,Simulation,Psygnosis,True,True,-0.8675005677047231
PS,1997,Platform,GT Interactive,True,True,0.2151113796169455
PS,1997,Simulation,Sony Computer Entertainment,True,True,-0.11653381625595151
PS,1997,Role-Playing,Psygnosis,True,True,-1.4696759700589417
PS,1997,Role-Playing,Sony Computer Entertainment,True,True,2.2741856184723477
PS,1997,Shooter,Sony Computer Entertainment,True,True,-2.659260036932778
PS,1997,Fighting,Sony Computer Entertainment,True,True,0.14842000511827322
PS,1997,Platform,Konami Digital Entertainment,True,True,0.23901690047049992
PS,1997,Action,Activision,True,True,0.688134638736401
PS,1997,Role-Playing,ASCII Entertainment,False,True,-0.6931471805599453
PS,1997,Role-Playing,SquareSoft,True,True,0.8960880245566357
PC,1997,Shooter,Vivendi Games,True,True,1.415853163361435
PS,1998,Fighting,Sony Computer Entertainment,True,True,1.9685099809725544
PC,1998,Strategy,Vivendi Games,True,True,-3.912023005428146
PS,1998,Sports,Konami Digital Entertainment,True,True,-0.2744368457017603
PS,1998,Action,Virgin Interactive,True,True,1.7613002617433464
PS,1998,Action,Konami Digital Entertainment,True,True,1.7967470107390942
PS,1998,Role-Playing,Kadokawa Shoten,True,True,-0.5978370007556204
PS,1998,Adventure,Human Entertainment,False,False,-1.7719568419318752
PS,1998,Strategy,Human Entertainment,False,True,-2.659260036932778
PS,1998,Fighting,Sony Computer Entertainment,True,True,-1.2729656758128873
PS,1998,Role-Playing,SquareSoft,True,True,0.37843643572024505
PC,1998,Role-Playing,Interplay,True,True,-3.506557897319982
PS,1998,Shooter,Electronic Arts,True,True,0.9820784724121582
PS,1998,Role-Playing,Konami Digital Entertainment,True,True,-0.3856624808119846
PS,1998,Platform,Sony Computer Entertainment,True,True,1.9643112344262046
PS,1998,Puzzle,Virgin Interactive,True,True,-2.120263536200091
PS,1998,Role-Playing,SquareSoft,True,True,0.7419373447293773
PS,1998,Role-Playing,Sony Computer Entertainment,True,True,0.09531017980432493
PS,1998,Platform,ESP,False,True,-2.995732273553991
PS,1998,Fighting,Namco Bandai Games,False,True,-1.4696759700589417
PS,1998,Role-Playing,SquareSoft,True,True,0.131028262406404
PC,1998,Strategy,Activision,True,True,-2.995732273553991
PS,1998,Action,Take-Two Interactive,False,True,1.2296405510745139
PS,1998,Shooter,Midas Interactive Entertainment,False,True,-2.120263536200091
PS,1998,Platform,GT Interactive,True,True,-0.01005033585350145
PS,1998,Fighting,Virgin Interactive,True,True,0.02955880224154443
PC,1999,Strategy,Microsoft Game Studios,True,True,-2.4079456086518722
PS,1999,Action,Konami Digital Entertainment,True,True,0.47000362924573563
PS,1999,Platform,Sony Computer Entertainment,True,True,0.4885800148186709
PS,1999,Racing,Psygnosis,True,True,-1.0788096613719298
PS,1999,Action,Titus,True,True,-2.5257286443082556
DC,1999,Fighting,Namco Bandai Games,True,True,-1.0788096613719298
PS,1999,Racing,Sony Computer Entertainment,True,True,1.5665304114228238
PS,1999,Racing,Electronic Arts,True,True,0.8372475245337022
PS,1999,Action,GT Interactive,True,True,1.8357763546448294
DC,1999,Simulation,Sega,True,True,-0.6539264674066639
PS,1999,Role-Playing,SquareSoft,True,True,0.62057648772511
PS,1999,Role-Playing,Sony Computer Entertainment,True,True,0.62057648772511
PS,1999,Role-Playing,SquareSoft,True,True,-0.5447271754416722
PS,1999,Fighting,Acclaim Entertainment,False,False,-2.2072749131897207
PS,1999,Strategy,Namco Bandai Games,False,True,-2.2072749131897207
PS,1999,Role-Playing,Kadokawa Shoten,True,True,-1.0498221244986778
PS,1999,Strategy,Tecmo Koei,True,True,-2.995732273553991
PC,1999,Adventure,Empire Interactive,True,True,-3.912023005428146
PS,1999,Simulation,Ubisoft,True,True,-1.1394342831883648
PS,1999,Sports,Activision,True,True,1.6134299337036377
PS,1999,Role-Playing,Enix Corporation,True,True,-0.21072103131565253
PS,1999,Role-Playing,Sony Computer Entertainment,False,True,-2.659260036932778
PS,1999,Role-Playing,SquareSoft,True,True,2.061786606441115
PS,1999,Racing,Electronic Arts,True,True,-0.2613647641344075
PS,1999,Action,Hasbro Interactive,True,True,0.3576744442718159
PS,1999,Role-Playing,Square EA,True,True,-0.2231435513142097
PS,1999,Misc,Enix Corporation,False,True,-1.3470736479666092
PS,1999,Role-Playing,Ubisoft,True,False,-1.3862943611198906
DC,1999,Adventure,Sega,True,True,0.16551443847757333
PS,1999,Racing,Sony Computer Entertainment,True,True,2.2502386126218363
PS,2000,Adventure,Eidos Interactive,True,False,-2.0402208285265546
PC,2000,Misc,Electronic Arts,True,False,1.095273387402595
DC,2000,Racing,Sega,True,True,-2.0402208285265546
PS2,2000,Strategy,Tecmo Koei,True,True,-1.1394342831883648
PS,2000,Action,Activision,True,True,1.1410330045520618
PS2,2000,Shooter,Midas Interactive Entertainment,False,True,-1.2378743560016174
PS,2000,Racing,Activision,False,False,-0.7765287894989963
PS,2000,Racing,Electronic Arts,False,False,-0.6348782724359695
DC,2000,Role-Playing,Sega,True,True,-1.6094379124341003
PS2,2000,Racing,Acclaim Entertainment,False,True,-1.7719568419318752
DC,2000,Role-Playing,Sega,True,True,-2.4079456086518722
PS2,2000,Action,3DO,False,False,-1.7719568419318752
PS,2000,Strategy,Infogrames,False,True,-3.912023005428146
PS,2000,Platform,Sony Computer Entertainment,True,True,1.3110318766193438
PS2,2000,Fighting,Empire Interactive,True,True,-0.7550225842780328
PS,2000,Platform,Sony Computer Entertainment,False,True,-1.171182981502945
PS2,2000,Racing,Take-Two Interactive,True,True,0.9669838461896731
PS2,2000,Role-Playing,Activision,False,False,-1.171182981502945
PS,2000,Adventure,Capcom,True,True,-0.8675005677047231
PS2,2000,Strategy,Electronic Arts,True,True,-0.7339691750802004
DC,2000,Role-Playing,Ubisoft,True,True,-1.6094379124341003
PS,2000,Shooter,Namco Bandai Games,True,True,-3.912023005428146
PS,2000,Action,Sony Computer Entertainment,False,True,-2.4079456086518722
PS2,2000,Simulation,Sony Computer Entertainment,True,True,-1.1394342831883648
PS,2000,Action,3DO,False,False,-1.7719568419318752
PS2,2000,Fighting,Namco Bandai Games,True,True,1.3987168811184478
PS,2000,Sports,Electronic Arts,True,True,-1.1394342831883648
PS2,2000,Puzzle,Sony Computer Entertainment,True,False,-0.7550225842780328
PS2,2000,Platform,Ubisoft,True,True,-1.2039728043259361
PS,2000,Action,3DO,True,False,-1.2039728043259361
PS2,2000,Role-Playing,Ubisoft,False,False,-1.2039728043259361
PS,2000,Misc,Sony Computer Entertainment,False,True,1.220829921392359
PS2,2000,Shooter,Eidos Interactive,True,True,-0.843970070294529
PS2,2000,Role-Playing,THQ,True,True,-0.6733445532637656
PC,2000,Role-Playing,Havas Interactive,True,True,-2.0402208285265546
PS2,2000,Fighting,Virgin Interactive,False,True,-0.16251892949777494
PS,2000,Role-Playing,Capcom,True,True,-0.579818495252942
PS2,2000,Simulation,Ubisoft,True,True,-0.23572233352106983
PS,2000,Racing,Electronic Arts,True,False,-0.21072103131565253
PS,2000,Role-Playing,Namco Bandai Games,True,True,-0.21072103131565253
PS2,2000,Action,THQ,True,True,-0.18632957819149348
PS2,2000,Sports,Take-Two Interactive,False,False,-1.3862943611198906
PS,2000,Role-Playing,Crave Entertainment,True,True,-0.13926206733350766
PS,2000,Fighting,Ubisoft,False,True,-1.3862943611198906
PS,2000,Simulation,Konami Digital Entertainment,True,True,-3.2188758248682006
